User-ID,Division,Age,Travel-Style,Preferred-Type,Budget-Level
1,Chattogram,19,Luxury,Nature,2
2,Rajshahi,26,Luxury,Forest,5
3,Chattogram,55,Nature,Beach,1
4,Chattogram,31,Relaxation,Beach,5
5,Rajshahi,63,Luxury,Lake,2
6,Mymensingh,55,Cultural,Beach,2
7,Rangpur,39,Cultural,Hill,2
8,Barishal,24,Adventure,Lake,1
9,Barishal,40,Budget,Nature,1
10,Mymensingh,52,Adventure,Lake,1
11,Khulna,58,Budget,Wetland,5
12,Rajshahi,63,Adventure,Beach,2
13,Khulna,23,Relaxation,Forest,4
14,Khulna,47,Luxury,Wetland,2
15,Barishal,40,Relaxation,Nature,1
16,Sylhet,52,Luxury,Historical,2
17,Mymensingh,42,Cultural,Historical,3
18,Dhaka,32,Adventure,Wetland,4
19,Khulna,22,Relaxation,Wetland,2
20,Mymensingh,43,Luxury,City,2
21,Khulna,26,Relaxation,Nature,5
22,Rangpur,55,Nature,Wetland,2
23,Sylhet,50,Nature,Forest,1
24,Chattogram,27,Luxury,Hill,4
25,Chattogram,42,Nature,City,5
26,Khulna,53,Adventure,Forest,5
27,Khulna,59,Cultural,Forest,3
28,Rangpur,28,Nature,Beach,3
29,Sylhet,50,Adventure,Nature,5
30,Rajshahi,27,Cultural,Hill,5
31,Dhaka,56,Cultural,City,1
32,Chattogram,41,Cultural,Historical,1
33,Rajshahi,54,Adventure,Forest,4
34,Chattogram,52,Relaxation,Hill,4
35,Sylhet,34,Budget,Lake,2
36,Rajshahi,63,Cultural,Lake,3
37,Mymensingh,51,Nature,Forest,2
38,Rajshahi,22,Cultural,Beach,5
39,Rajshahi,55,Relaxation,Beach,1
40,Dhaka,32,Adventure,Beach,3
41,Chattogram,50,Relaxation,Nature,4
42,Rajshahi,52,Relaxation,City,2
43,Mymensingh,44,Relaxation,Forest,1
44,Rangpur,40,Nature,Lake,4
45,Dhaka,61,Luxury,Forest,1
46,Rangpur,64,Cultural,Forest,2
47,Rajshahi,30,Budget,City,2
48,Rangpur,29,Cultural,City,2
49,Chattogram,46,Budget,Forest,1
50,Dhaka,23,Relaxation,Hill,4
51,Mymensingh,48,Relaxation,Lake,1
52,Sylhet,42,Adventure,Lake,3
53,Mymensingh,36,Nature,City,2
54,Rajshahi,36,Relaxation,Beach,5
55,Dhaka,65,Cultural,Beach,1
56,Mymensingh,50,Budget,Hill,1
57,Chattogram,29,Adventure,Forest,2
58,Rangpur,25,Budget,Historical,5
59,Dhaka,57,Adventure,Lake,5
60,Barishal,34,Relaxation,Wetland,2
61,Khulna,43,Relaxation,Nature,4
62,Barishal,22,Adventure,City,5
63,Chattogram,22,Budget,Historical,5
64,Khulna,26,Cultural,Forest,2
65,Barishal,36,Relaxation,City,5
66,Khulna,57,Luxury,Beach,5
67,Khulna,60,Adventure,Hill,3
68,Chattogram,24,Luxury,Hill,3
69,Khulna,56,Relaxation,Wetland,2
70,Khulna,50,Nature,Nature,1
71,Chattogram,58,Nature,Nature,1
72,Dhaka,39,Relaxation,Nature,2
73,Mymensingh,53,Luxury,Lake,5
74,Dhaka,25,Adventure,Hill,5
75,Dhaka,41,Budget,Hill,4
76,Sylhet,20,Cultural,Wetland,1
77,Barishal,31,Luxury,Historical,1
78,Barishal,53,Nature,Hill,2
79,Sylhet,29,Nature,Beach,2
80,Barishal,44,Luxury,Historical,3
81,Sylhet,62,Adventure,Lake,1
82,Mymensingh,32,Relaxation,City,3
83,Khulna,32,Relaxation,Beach,2
84,Rangpur,39,Cultural,Forest,3
85,Barishal,59,Budget,Lake,5
86,Barishal,19,Adventure,Nature,2
87,Khulna,20,Adventure,Lake,3
88,Barishal,45,Budget,Forest,4
89,Rajshahi,34,Adventure,Lake,1
90,Rajshahi,41,Nature,Forest,3
91,Barishal,60,Adventure,Nature,5
92,Khulna,60,Nature,Wetland,4
93,Khulna,53,Relaxation,Historical,4
94,Rangpur,61,Luxury,Hill,5
95,Khulna,43,Budget,Beach,3
96,Khulna,31,Nature,Wetland,4
97,Mymensingh,46,Luxury,Historical,5
98,Mymensingh,65,Relaxation,Forest,3
99,Barishal,23,Relaxation,Nature,2
100,Rajshahi,27,Adventure,Beach,2
101,Mymensingh,57,Adventure,City,4
102,Rajshahi,63,Luxury,Lake,4
103,Rangpur,33,Relaxation,Beach,1
104,Rangpur,32,Relaxation,City,1
105,Rajshahi,25,Nature,Hill,4
